さえずり, 11.67134688494093, 1, 0, 1
アンブリ, 11.67134688494093, 1, 0, 1
滿, 11.67134688494093, 1, 0, 1
キレイー, 11.67134688494093, 1, 0, 1
押し花, 11.67134688494093, 1, 0, 1
終わりの季節, 11.67134688494093, 1, 0, 1
ニコン, 11.67134688494093, 1, 0, 1
パシャ!, 11.67134688494093, 1, 0, 1
Botanical, 11.67134688494093, 1, 0, 1
Gardens, 11.67134688494093, 1, 0, 1
染井吉野, 11.67134688494093, 1, 0, 1
硫黄, 11.67134688494093, 1, 0, 1
殺風景, 11.67134688494093, 1, 0, 1
6回目, 11.67134688494093, 1, 0, 1
滞在日数, 11.67134688494093, 1, 0, 1
霞む, 11.67134688494093, 1, 0, 1
色あい, 11.67134688494093, 1, 0, 1
ほわっと, 11.67134688494093, 1, 0, 1
枯葉, 11.67134688494093, 1, 0, 1
鮮やか, 11.67134688494093, 1, 0, 1
道の駅YOU・遊・もり, 11.67134688494093, 1, 0, 1
札幌時計台, 11.67134688494093, 1, 0, 1
飛び散る, 11.67134688494093, 1, 0, 1
紅葉momiji, 11.256309385662085, 2, 0, 2
市内, 10.67134688494093, 1, 1, 2
ラストチャンス, 10.67134688494093, 1, 1, 2
幌平橋駅, 10.67134688494093, 1, 1, 2
どんより, 10.67134688494093, 1, 1, 2
渓, 10.67134688494093, 1, 1, 2
無料送迎バス, 10.67134688494093, 1, 1, 2
定山, 10.67134688494093, 1, 1, 2
うつくしい, 10.67134688494093, 1, 1, 2
広大, 10.67134688494093, 1, 1, 2
平岡樹芸センター, 10.256309385662085, 2, 2, 4
豊ケ岡, 10.086384384219773, 1, 2, 3
Toyogaoka, 10.086384384219773, 1, 2, 3
ロケーション, 10.086384384219773, 1, 2, 3
煉瓦, 10.086384384219773, 1, 2, 3
YUKI, 10.086384384219773, 1, 2, 3
兒, 10.086384384219773, 1, 2, 3
金森赤レンガ倉庫, 10.086384384219773, 1, 2, 3
フィルター, 10.086384384219773, 1, 2, 3
法則, 10.086384384219773, 1, 2, 3
脅かす, 10.086384384219773, 1, 2, 3
ほっと, 10.086384384219773, 1, 2, 3
低気圧, 10.086384384219773, 1, 2, 3
開放, 9.67134688494093, 1, 3, 4
サクラ, 9.67134688494093, 1, 3, 4
ノー, 9.67134688494093, 1, 3, 4
グラタン, 9.67134688494093, 1, 3, 4
札幌市資料館, 9.67134688494093, 1, 3, 4
発達, 9.67134688494093, 1, 3, 4
葉っぱ, 9.67134688494093, 1, 3, 4
落ち葉, 9.448954463604482, 2, 5, 7
一面, 9.349418790053566, 1, 4, 5
あんじる, 9.349418790053566, 1, 4, 5
見納め, 9.349418790053566, 1, 4, 5
引っ越す, 9.086384384219773, 1, 5, 6
トンネル, 9.086384384219773, 1, 5, 6
快晴, 9.086384384219773, 1, 5, 6
ニア, 8.863991962883325, 1, 6, 7
道庁, 8.863991962883325, 1, 6, 7
112, 8.501421883498617, 1, 8, 9
育つ, 8.501421883498617, 1, 8, 9
庭, 8.501421883498617, 1, 8, 9
通勤, 8.501421883498617, 1, 8, 9
かりる, 8.501421883498617, 1, 8, 9
お見舞い, 8.501421883498617, 1, 8, 9
道南, 8.501421883498617, 1, 8, 9
落ち込む, 8.349418790053566, 1, 9, 10
すっかり, 8.349418790053566, 2, 13, 15
数える, 8.349418790053566, 1, 9, 10
散る, 8.256309385662085, 2, 14, 16
ライトアップ, 8.168846544411746, 2, 15, 17
Factory, 8.086384384219773, 1, 11, 12
